username,username_color,user_badge,country_name,rank,score,data_region,finish_time
natsugiri,,,Japan,2,18,US,2022-02-27T08:11:47
numb3r5,,,Australia,11,18,US,2022-02-27T08:15:12
arignote,,,,17,18,CN,2022-02-27T08:17:04
emthrm,,,Japan,19,18,US,2022-02-27T08:17:58
kmjp,,,,22,18,US,2022-02-27T08:19:49
